geohash,count_buildings,distance_park,geometry
dr5nqws5fe7dxxnhyvkq,24,960.0,"POLYGON((-74.2349999999999 40.5049999999999, -74.2349999999999 40.5149999999999, -74.2449999999999 40.5149999999999, -74.2449999999999 40.5049999999999, -74.2349999999999 40.5049999999999))"
dr5ppd9hwsvfkc5ckn2t,1,1770.0,"POLYGON((-74.195 40.615, -74.195 40.625, -74.2049999999999 40.625, -74.2049999999999 40.615, -74.195 40.615))"
dr5x6j84jmwu0rhvrh1c,1,1080.0,"POLYGON((-73.7350000000001 40.6750000000001, -73.7350000000001 40.6850000000001, -73.7450000000001 40.6850000000001, -73.7450000000001 40.6750000000001, -73.7350000000001 40.6750000000001))"
dr5nzg27xsq2yptk1m3e,1,1560.0,"POLYGON((-74.185 40.5750000000001, -74.185 40.5850000000001, -74.195 40.5850000000001, -74.195 40.5750000000001, -74.185 40.5750000000001))"
dr5xdwwj2w23u6cjyzm5,60,990.0,"POLYGON((-73.7050000000001 40.7249999999999, -73.7050000000001 40.7349999999999, -73.7150000000001 40.7349999999999, -73.7150000000001 40.7249999999999, -73.7050000000001 40.7249999999999))"
dr5r0wm95v0dgmfbn6vy,44,930.0,"POLYGON((-74.1450000000001 40.635, -74.1450000000001 40.645, -74.1550000000001 40.645, -74.1550000000001 40.635, -74.1450000000001 40.635))"
dr5nqqsgce74wrhuct7n,35,960.0,"POLYGON((-74.2450000000001 40.5049999999999, -74.2450000000001 40.5149999999999, -74.2550000000001 40.5149999999999, -74.2550000000001 40.5049999999999, -74.2450000000001 40.5049999999999))"
dr5x2pmummf2w198sy33,39,930.0,"POLYGON((-73.815 40.685, -73.815 40.695, -73.825 40.695, -73.825 40.685, -73.815 40.685))"
dr5x29umxm7e8dkqxr7x,3,1110.0,"POLYGON((-73.7949999999999 40.6549999999999, -73.7949999999999 40.6649999999999, -73.8049999999999 40.6649999999999, -73.8049999999999 40.6549999999999, -73.7949999999999 40.6549999999999))"
dr5nxjfsueuu42941qw3,2,1020.0,"POLYGON((-74.2150000000001 40.545, -74.2150000000001 40.555, -74.2250000000001 40.555, -74.2250000000001 40.545, -74.2150000000001 40.545))"
dr72xtx7g29776yy6jzj,115,960.0,"POLYGON((-73.8350000000001 40.8949999999999, -73.8350000000001 40.9049999999999, -73.8450000000001 40.9049999999999, -73.8450000000001 40.8949999999999, -73.8350000000001 40.8949999999999))"
dr5qc9d9ru4u8t28ge44,46,900.0,"POLYGON((-74.1050000000001 40.565, -74.1050000000001 40.575, -74.1150000000001 40.575, -74.1150000000001 40.565, -74.1050000000001 40.565))"
dr5nxjfsueuu42941qw3,15,900.0,"POLYGON((-74.2150000000001 40.545, -74.2150000000001 40.555, -74.2250000000001 40.555, -74.2250000000001 40.545, -74.2150000000001 40.545))"
dr5qz9816k0udjm2ugn4,32,960.0,"POLYGON((-73.845 40.565, -73.845 40.575, -73.855 40.575, -73.855 40.565, -73.845 40.565))"
dr5x3v8fhmwhpp5t3u0c,31,960.0,"POLYGON((-73.745 40.6750000000001, -73.745 40.6850000000001, -73.755 40.6850000000001, -73.755 40.6750000000001, -73.745 40.6750000000001))"
dr5x30553mhx70p73vjx,2,2040.0,"POLYGON((-73.7750000000001 40.645, -73.7750000000001 40.6550000000001, -73.7850000000001 40.6550000000001, -73.7850000000001 40.645, -73.7750000000001 40.645))"
dr72ng6jppr0n73jjp6b,2,1080.0,"POLYGON((-73.8750000000001 40.7950000000001, -73.8750000000001 40.8050000000001, -73.8850000000001 40.8050000000001, -73.8850000000001 40.7950000000001, -73.8750000000001 40.7950000000001))"
dr5nzzpb0swcxkqdy9fs,1,1080.0,"POLYGON((-74.1750000000001 40.595, -74.1750000000001 40.605, -74.1850000000001 40.605, -74.1850000000001 40.595, -74.1750000000001 40.595))"
dr5nw2ky1e7pn3sb1xep,4,1050.0,"POLYGON((-74.2450000000001 40.515, -74.2450000000001 40.525, -74.2550000000001 40.525, -74.2550000000001 40.515, -74.2450000000001 40.515))"
dr5x3v8fhmwhpp5t3u0c,9,990.0,"POLYGON((-73.745 40.6750000000001, -73.745 40.6850000000001, -73.755 40.6850000000001, -73.755 40.6750000000001, -73.745 40.6750000000001))"
dr5rwhu7hnjtd2sftjpe,5,900.0,"POLYGON((-73.9050000000001 40.715, -73.9050000000001 40.725, -73.9150000000001 40.725, -73.9150000000001 40.715, -73.9050000000001 40.715))"
dr5nwtuhfegsp8w4nys3,1,1140.0,"POLYGON((-74.2349999999999 40.545, -74.2349999999999 40.555, -74.2449999999999 40.555, -74.2449999999999 40.545, -74.2349999999999 40.545))"
dr5x1q634mj4utb8p4yw,1,1530.0,"POLYGON((-73.7650000000002 40.635, -73.7650000000002 40.645, -73.7750000000001 40.645, -73.7750000000001 40.635, -73.7650000000002 40.635))"
dr5x2cgv8mk59fmysxkx,1,1290.0,"POLYGON((-73.785 40.655, -73.785 40.665, -73.795 40.665, -73.795 40.655, -73.785 40.655))"
dr5rtsvg4nhmxbd4dtje,1,990.0,"POLYGON((-73.9249999999999 40.715, -73.9249999999999 40.725, -73.9349999999999 40.725, -73.9349999999999 40.715, -73.9249999999999 40.715))"
dr5nwmuuceghn2sf1we1,1,1440.0,"POLYGON((-74.2450000000001 40.545, -74.2450000000001 40.555, -74.2550000000001 40.555, -74.2550000000001 40.545, -74.2450000000001 40.545))"
dr5x28h7rm5x28h7rm5x,1,2340.0,"POLYGON((-73.7949999999999 40.645, -73.7949999999999 40.6550000000001, -73.8049999999999 40.6550000000001, -73.8049999999999 40.645, -73.7949999999999 40.645))"
dr5q8jzhcezs0b845yec,18,930.0,"POLYGON((-74.1649999999999 40.545, -74.1649999999999 40.555, -74.1749999999999 40.555, -74.1749999999999 40.545, -74.1649999999999 40.545))"
dr72ne6vnpq8hgrtpz3b,10,930.0,"POLYGON((-73.885 40.7950000000001, -73.885 40.8050000000001, -73.895 40.8050000000001, -73.895 40.7950000000001, -73.885 40.7950000000001))"
dr72xt85f28g64vqkvyj,21,930.0,"POLYGON((-73.845 40.8949999999999, -73.845 40.9049999999999, -73.855 40.9049999999999, -73.855 40.8949999999999, -73.845 40.8949999999999))"
dr5x22j5qm4zr2556j4r,2,1440.0,"POLYGON((-73.8050000000001 40.645, -73.8050000000001 40.6550000000001, -73.8150000000001 40.6550000000001, -73.8150000000001 40.645, -73.8050000000001 40.645))"
dr5nzt1jysmvkcgzkp8e,4,900.0,"POLYGON((-74.195 40.585, -74.195 40.595, -74.2049999999999 40.595, -74.2049999999999 40.585, -74.195 40.585))"
dr5ppd9hwsvfkc5ckn2t,2,1860.0,"POLYGON((-74.195 40.615, -74.195 40.625, -74.2049999999999 40.625, -74.2049999999999 40.615, -74.195 40.615))"
dr5nwvgkgeuk0bxdhnt3,3,1170.0,"POLYGON((-74.225 40.545, -74.225 40.555, -74.235 40.555, -74.235 40.545, -74.225 40.545))"
dr5nzg27xsq2yptk1m3e,1,1410.0,"POLYGON((-74.185 40.5750000000001, -74.185 40.5850000000001, -74.195 40.5850000000001, -74.195 40.5750000000001, -74.185 40.5750000000001))"
dr5ppbzf2swvzqwwns4s,5,1500.0,"POLYGON((-74.1750000000001 40.6049999999999, -74.1750000000001 40.6149999999999, -74.1850000000001 40.6149999999999, -74.1850000000001 40.6049999999999, -74.1750000000001 40.6049999999999))"
dr5nwvgkgeuk0bxdhnt3,3,930.0,"POLYGON((-74.225 40.545, -74.225 40.555, -74.235 40.555, -74.235 40.545, -74.225 40.545))"
dr783kd26rvjsx0tz4we,1,1290.0,"POLYGON((-73.7650000000002 40.8450000000001, -73.7650000000002 40.8550000000001, -73.7750000000001 40.8550000000001, -73.7750000000001 40.8450000000001, -73.7650000000002 40.8450000000001))"
dr5r00z43sxtby8n5u5u,1,900.0,"POLYGON((-74.1649999999999 40.6049999999999, -74.1649999999999 40.6149999999999, -74.1749999999999 40.6149999999999, -74.1749999999999 40.6049999999999, -74.1649999999999 40.6049999999999))"
dr5xdytm3w2cvdftupq7,14,1020.0,"POLYGON((-73.6949999999999 40.7249999999999, -73.6949999999999 40.7349999999999, -73.7049999999998 40.7349999999999, -73.7049999999998 40.7249999999999, -73.6949999999999 40.7249999999999))"
dr5nwvgkgeuk0bxdhnt3,5,960.0,"POLYGON((-74.225 40.545, -74.225 40.555, -74.235 40.555, -74.235 40.545, -74.225 40.545))"
dr5x2pmummf2w198sy33,47,990.0,"POLYGON((-73.815 40.685, -73.815 40.695, -73.825 40.695, -73.825 40.685, -73.815 40.685))"
dr5x30553mhx70p73vjx,1,1200.0,"POLYGON((-73.7750000000001 40.645, -73.7750000000001 40.6550000000001, -73.7850000000001 40.6550000000001, -73.7850000000001 40.645, -73.7750000000001 40.645))"
dr5x33fmdmm5sd2wxpqx,21,900.0,"POLYGON((-73.7650000000002 40.6549999999999, -73.7650000000002 40.6649999999999, -73.7750000000001 40.6649999999999, -73.7750000000001 40.6549999999999, -73.7650000000002 40.6549999999999))"
dr5qcph0ju99tumfc1bh,3,1230.0,"POLYGON((-74.125 40.595, -74.125 40.605, -74.135 40.605, -74.135 40.595, -74.125 40.595))"
dr5nzt1jysmvkcgzkp8e,1,1110.0,"POLYGON((-74.195 40.585, -74.195 40.595, -74.2049999999999 40.595, -74.2049999999999 40.585, -74.195 40.585))"
dr5rhyrcpj4fgvvb4ffq,86,930.0,"POLYGON((-73.955 40.635, -73.955 40.645, -73.965 40.645, -73.965 40.635, -73.955 40.635))"
dr5x6prkqmz299w2sq71,18,990.0,"POLYGON((-73.7249999999999 40.685, -73.7249999999999 40.695, -73.7349999999999 40.695, -73.7349999999999 40.685, -73.7249999999999 40.685))"
dr5rtytj7nm1c4gmzzqe,4,930.0,"POLYGON((-73.915 40.7249999999999, -73.915 40.7349999999999, -73.925 40.7349999999999, -73.925 40.7249999999999, -73.915 40.7249999999999))"
dr5rtytj7nm1c4gmzzqe,4,1140.0,"POLYGON((-73.915 40.7249999999999, -73.915 40.7349999999999, -73.925 40.7349999999999, -73.925 40.7249999999999, -73.915 40.7249999999999))"
dr5nqws5fe7dxxnhyvkq,41,900.0,"POLYGON((-74.2349999999999 40.5049999999999, -74.2349999999999 40.5149999999999, -74.2449999999999 40.5149999999999, -74.2449999999999 40.5049999999999, -74.2349999999999 40.5049999999999))"
dr5nqws5fe7dxxnhyvkq,46,930.0,"POLYGON((-74.2349999999999 40.5049999999999, -74.2349999999999 40.5149999999999, -74.2449999999999 40.5149999999999, -74.2449999999999 40.5049999999999, -74.2349999999999 40.5049999999999))"
dr5xfknspqxyfczzcwhj,2,900.0,"POLYGON((-73.715 40.755, -73.715 40.765, -73.725 40.765, -73.725 40.755, -73.715 40.755))"
dr5rtuv55njj90e6xvne,6,900.0,"POLYGON((-73.915 40.715, -73.915 40.725, -73.925 40.725, -73.925 40.715, -73.915 40.715))"
dr5nwkhf9eepwqhycs70,1,1380.0,"POLYGON((-74.2450000000001 40.535, -74.2450000000001 40.545, -74.2550000000001 40.545, -74.2550000000001 40.535, -74.2450000000001 40.535))"
dr5x29umxm7e8dkqxr7x,2,990.0,"POLYGON((-73.7949999999999 40.6549999999999, -73.7949999999999 40.6649999999999, -73.8049999999999 40.6649999999999, -73.8049999999999 40.6549999999999, -73.7949999999999 40.6549999999999))"
dr783kd26rvjsx0tz4we,1,1140.0,"POLYGON((-73.7650000000002 40.8450000000001, -73.7650000000002 40.8550000000001, -73.7750000000001 40.8550000000001, -73.7750000000001 40.8450000000001, -73.7650000000002 40.8450000000001))"
dr5x1n711mhdgjz21fvw,1,2160.0,"POLYGON((-73.7750000000001 40.635, -73.7750000000001 40.645, -73.7850000000001 40.645, -73.7850000000001 40.635, -73.7750000000001 40.635))"
dr72xtx7g29776yy6jzj,54,1080.0,"POLYGON((-73.8350000000001 40.8949999999999, -73.8350000000001 40.9049999999999, -73.8450000000001 40.9049999999999, -73.8450000000001 40.8949999999999, -73.8350000000001 40.8949999999999))"
dr5nxmcuvevk58d6nwx3,101,900.0,"POLYGON((-74.2050000000002 40.545, -74.2050000000002 40.555, -74.2150000000001 40.555, -74.2150000000001 40.545, -74.2050000000002 40.545))"
