geohash,count_buildings,distance_park,geometry
xn76tyjpg1mhc4e2rfqw,1,780.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76u9ckm19v3r5nbr00,2,630.0,"POLYGON((139.775 35.6450000000001, 139.775 35.6550000000001, 139.765 35.6550000000001, 139.765 35.6450000000001, 139.775 35.6450000000001))"
xn76kwcqv0cg9355032h,1,600.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76t0z300grv5rq25em,2,1320.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76ddx5kcjknvz9tvzt,18,570.0,"POLYGON((139.695 35.605, 139.695 35.615, 139.685 35.615, 139.685 35.605, 139.695 35.605))"
xn769k7mwc60x0pjn21n,4,600.0,"POLYGON((139.635 35.615, 139.635 35.625, 139.625 35.625, 139.625 35.615, 139.635 35.615))"
xn76htc7t01vcm742q01,2,1620.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76kc88n06qddh3jd96,1,1500.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76kwcqv0cg9355032h,2,630.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76tyjpg1mhc4e2rfqw,11,690.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76htc7t01vcm742q01,1,1590.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn777zex6521m7qyb6hz,3,600.0,"POLYGON((139.745 35.765, 139.745 35.7750000000001, 139.735 35.7750000000001, 139.735 35.765, 139.745 35.765))"
xn76t0z300grv5rq25em,1,720.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76kc88n06qddh3jd96,1,1560.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76gz7e4404mqqbbmuc,9,570.0,"POLYGON((139.745 35.6749999999999, 139.745 35.6849999999999, 139.735 35.6849999999999, 139.735 35.6749999999999, 139.745 35.6749999999999))"
xn76sbzcp0fzggmy6gdm,3,1200.0,"POLYGON((139.795 35.595, 139.795 35.6050000000001, 139.785 35.6050000000001, 139.785 35.595, 139.795 35.595))"
xn76vgtne1v1c1e6rcq8,3,570.0,"POLYGON((139.835 35.655, 139.835 35.665, 139.825 35.665, 139.825 35.655, 139.835 35.655))"
xn76s6d5k11k0jc9dvzj,1,690.0,"POLYGON((139.765 35.605, 139.765 35.615, 139.755 35.615, 139.755 35.605, 139.765 35.605))"
xn76gve8f1bnj7yv87sc,1,660.0,"POLYGON((139.745 35.665, 139.745 35.675, 139.735 35.675, 139.735 35.665, 139.745 35.665))"
xn76sbzcp0fzggmy6gdm,1,810.0,"POLYGON((139.795 35.595, 139.795 35.6050000000001, 139.785 35.6050000000001, 139.785 35.595, 139.795 35.595))"
xn766cw2jbqn8611568d,5,630.0,"POLYGON((139.705 35.5549999999999, 139.705 35.5649999999999, 139.695 35.5649999999999, 139.695 35.5549999999999, 139.705 35.5549999999999))"
xn76t0z300grv5rq25em,1,1350.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76t2y910gzye2wm7sm,2,1410.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76kwcqv0cg9355032h,3,810.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76v8jf41s3puf5dstx,10,660.0,"POLYGON((139.825 35.635, 139.825 35.645, 139.815 35.645, 139.815 35.635, 139.825 35.635))"
xn76t2y910gzye2wm7sm,1,1800.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76tyjpg1mhc4e2rfqw,6,840.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76mqywc0ggw90ej3kk,1,1770.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn769w4xzc6ubd887d6n,17,600.0,"POLYGON((139.645 35.6249999999999, 139.645 35.6349999999999, 139.635 35.6349999999999, 139.635 35.6249999999999, 139.645 35.6249999999999))"
xn76v8jf41s3puf5dstx,1,720.0,"POLYGON((139.825 35.635, 139.825 35.645, 139.815 35.645, 139.815 35.635, 139.825 35.635))"
